Link_Text,Link_URL
"Cak Imin: Lima Tahun ke Depan, PKB Go Public",https://www.liputan6.com/news/read/5696678/cak-imin-lima-tahun-ke-depan-pkb-go-public
,https://www.liputan6.com/news/read/5696665/viral-warga-bali-jadi-terdakwa-akibat-pelihara-landak-sahroni-cukup-diberi-peringatan
Politik,https://www.liputan6.com/news/politik
"Viral Warga Bali Jadi Terdakwa Akibat Pelihara Landak, Sahroni: Cukup Diberi Peringatan",https://www.liputan6.com/news/read/5696665/viral-warga-bali-jadi-terdakwa-akibat-pelihara-landak-sahroni-cukup-diberi-peringatan
,https://www.liputan6.com/news/read/5696235/pramono-anung-rano-karno-bakal-temui-anies-baswedan-dalam-waktu-dekat
Politik,https://www.liputan6.com/news/politik
Pramono Anung-Rano Karno Bakal Temui Anies Baswedan dalam Waktu Dekat,https://www.liputan6.com/news/read/5696235/pramono-anung-rano-karno-bakal-temui-anies-baswedan-dalam-waktu-dekat
,https://www.liputan6.com/news/read/5696178/kunker-ke-negeri-jiran-prabowo-bertemu-raja-malaysia-sultan-ibrahim
Politik,https://www.liputan6.com/news/politik
"Kunker ke Negeri Jiran, Prabowo Bertemu Raja Malaysia Sultan Ibrahim",https://www.liputan6.com/news/read/5696178/kunker-ke-negeri-jiran-prabowo-bertemu-raja-malaysia-sultan-ibrahim
,https://www.liputan6.com/news/read/5696172/pria-terduga-maling-yang-lompat-ke-kali-di-jakbar-ditemukan-tewas
Politik,https://www.liputan6.com/news/politik
Pria Terduga Maling yang Lompat ke Kali di Jakbar Ditemukan Tewas,https://www.liputan6.com/news/read/5696172/pria-terduga-maling-yang-lompat-ke-kali-di-jakbar-ditemukan-tewas
,https://www.liputan6.com/news/read/5696138/dpr-jangan-berpikir-negatif-terhadap-fenomena-kotak-kosong
Politik,https://www.liputan6.com/news/politik
DPR: Jangan Berpikir Negatif Terhadap Fenomena Kotak Kosong,https://www.liputan6.com/news/read/5696138/dpr-jangan-berpikir-negatif-terhadap-fenomena-kotak-kosong
,https://www.liputan6.com/news/read/5696247/arahan-presiden-pks-sinergi-dan-dedikasi-kunci-sukses-pilkada-jabar-2024
Politik,https://www.liputan6.com/news/politik
Arahan Presiden PKS: Sinergi dan Dedikasi Kunci Sukses Pilkada Jabar 2024,https://www.liputan6.com/news/read/5696247/arahan-presiden-pks-sinergi-dan-dedikasi-kunci-sukses-pilkada-jabar-2024
,https://www.liputan6.com/news/read/5696107/ingatkan-pemerintah-netty-pks-sebut-badai-phk-lahirkan-generasi-cemas-bukan-emas
Politik,https://www.liputan6.com/news/politik
"Ingatkan Pemerintah, Netty PKS Sebut Badai PHK Lahirkan Generasi Cemas Bukan Emas",https://www.liputan6.com/news/read/5696107/ingatkan-pemerintah-netty-pks-sebut-badai-phk-lahirkan-generasi-cemas-bukan-emas
,https://www.liputan6.com/news/read/5696014/sandiaga-pak-anies-mau-dirikan-partai-ya-kita-doakan-sukses
Politik,https://www.liputan6.com/news/politik
Sandiaga: Pak Anies Mau Dirikan Partai Ya Kita Doakan Sukses,https://www.liputan6.com/news/read/5696014/sandiaga-pak-anies-mau-dirikan-partai-ya-kita-doakan-sukses
,https://www.liputan6.com/news/read/5695999/kpk-buka-layanan-lhkpn-calon-kepala-daerah-pada-7-8-september-2024
Politik,https://www.liputan6.com/news/politik
KPK Buka Layanan LHKPN Calon Kepala Daerah pada 7-8 September 2024,https://www.liputan6.com/news/read/5695999/kpk-buka-layanan-lhkpn-calon-kepala-daerah-pada-7-8-september-2024
,https://www.liputan6.com/news/read/5695916/masa-jabatan-heru-budi-segera-berakhir-dprd-dki-bakal-bahas-usulan-nama-pj-gubernur-pekan-depan
Politik,https://www.liputan6.com/news/politik
"Masa Jabatan Heru Budi Segera Berakhir, DPRD DKI Bakal Bahas Usulan Nama Pj Gubernur Pekan...",https://www.liputan6.com/news/read/5695916/masa-jabatan-heru-budi-segera-berakhir-dprd-dki-bakal-bahas-usulan-nama-pj-gubernur-pekan-depan
,https://www.liputan6.com/news/read/5695593/jadi-sorotan-usai-ditarik-puan-bertemu-prabowo-pramono-sebenarnya-saya-yang-gandeng
Politik,https://www.liputan6.com/news/politik
"Jadi Sorotan Usai Ditarik Puan Bertemu Prabowo, Pramono: Sebenarnya Saya yang Gandeng",https://www.liputan6.com/news/read/5695593/jadi-sorotan-usai-ditarik-puan-bertemu-prabowo-pramono-sebenarnya-saya-yang-gandeng
,https://www.liputan6.com/news/read/5695567/jokowi-beri-sinyal-reshuffle-pdip-tak-ambil-pusing-soal-pengganti-risma
Politik,https://www.liputan6.com/news/politik
"Jokowi Beri Sinyal Reshuffle, PDIP Tak Ambil Pusing soal Pengganti Risma",https://www.liputan6.com/news/read/5695567/jokowi-beri-sinyal-reshuffle-pdip-tak-ambil-pusing-soal-pengganti-risma
,https://www.liputan6.com/news/read/5695538/ngobrol-bareng-anak-muda-pramono-pacaran-boleh-tapi-jangan-narkoba
Politik,https://www.liputan6.com/news/politik
"Ngobrol Bareng Anak Muda, Pramono: Pacaran Boleh, tapi Jangan Narkoba",https://www.liputan6.com/news/read/5695538/ngobrol-bareng-anak-muda-pramono-pacaran-boleh-tapi-jangan-narkoba
,https://www.liputan6.com/news/read/5695400/sandiaga-akui-pernah-diskusi-dengan-anies-untuk-dirikan-partai-politik
Politik,https://www.liputan6.com/news/politik
